Date,Close,Volume,Price,Open,High,Low,Change %
2015-04-01,2085.51001,72060940000,"2,085.51","2,067.63","2,125.92","2,048.38",0.85%
2015-05-01,2107.389893,65187730000,"2,107.39","2,087.38","2,134.72","2,067.93",1.05%
2015-06-01,2063.110107,73213980000,"2,063.11","2,108.64","2,129.87","2,056.32",-2.10%
2015-07-01,2103.840088,77920590000,"2,103.84","2,067.00","2,132.82","2,044.02",1.97%
2015-08-01,1972.180054,84626790000,"1,972.18","2,104.49","2,112.66","1,867.01",-6.26%
2015-09-01,1920.030029,79989370000,"1,920.03","1,970.09","2,020.86","1,871.91",-2.64%
2015-10-01,2079.360107,85844900000,"2,079.36","1,919.65","2,094.32","1,893.70",8.30%
2015-11-01,2080.409912,75943590000,"2,080.41","2,080.76","2,116.48","2,019.39",0.05%
2015-12-01,2043.939941,83649260000,"2,043.94","2,082.93","2,104.27","1,993.26",-1.75%
2016-01-01,1940.23999,92409770000,"1,940.24","2,038.20","2,038.20","1,812.29",-5.07%
2016-02-01,1932.22998,93049560000,"1,932.23","1,936.94","1,962.96","1,810.10",-0.41%
2016-03-01,2059.73999,92639420000,"2,059.74","1,937.09","2,072.21","1,937.09",6.60%
2016-04-01,2065.300049,81124990000,"2,065.30","2,056.62","2,111.05","2,033.80",0.27%
2016-05-01,2096.949951,78883600000,"2,096.96","2,067.17","2,103.48","2,025.91",1.53%
2016-06-01,2098.860107,86852700000,"2,098.86","2,093.94","2,120.55","1,991.68",0.09%
2016-07-01,2173.600098,69530250000,"2,173.60","2,099.34","2,177.09","2,074.02",3.56%
2016-08-01,2170.949951,75610310000,"2,170.95","2,173.15","2,193.81","2,147.58",-0.12%
2016-09-01,2168.27002,77023620000,"2,168.27","2,171.33","2,187.87","2,119.12",-0.12%
2016-10-01,2126.149902,72915530000,"2,126.15","2,164.33","2,169.60","2,114.72",-1.94%
2016-11-01,2198.810059,88445380000,"2,198.81","2,128.68","2,214.10","2,083.79",3.42%
2016-12-01,2238.830078,75344550000,"2,238.83","2,200.17","2,277.53","2,187.44",1.82%
2017-01-01,2278.870117,70576420000,"2,278.87","2,251.57","2,300.99","2,245.13",1.79%
2017-02-01,2363.639893,69260940000,"2,363.64","2,285.59","2,371.54","2,271.65",3.72%
2017-03-01,2362.719971,81664010000,"2,362.72","2,380.13","2,400.98","2,322.25",-0.04%
2017-04-01,2384.199951,65369860000,"2,384.20","2,362.34","2,398.16","2,328.95",0.91%
2017-05-01,2411.800049,79719460000,"2,411.80","2,388.50","2,418.71","2,352.72",1.16%
2017-06-01,2423.409912,81078810000,"2,423.41","2,415.65","2,453.82","2,405.70",0.48%
2017-07-01,2470.300049,63348090000,"2,470.30","2,431.39","2,484.04","2,407.70",1.93%
2017-08-01,2471.649902,70784900000,"2,471.65","2,477.10","2,490.87","2,417.35",0.05%
2017-09-01,2519.360107,66624120000,"2,519.36","2,474.42","2,519.44","2,446.55",1.93%
2017-10-01,2575.26001,71088550000,"2,575.26","2,521.20","2,582.98","2,520.40",2.22%
2017-11-01,2647.580078,73416960000,"2,647.58","2,583.21","2,657.74","2,557.45",2.81%
2017-12-01,2673.610107,65531700000,"2,673.61","2,645.10","2,694.97","2,605.52",0.98%
2018-01-01,2823.810059,77318690000,"2,823.81","2,683.73","2,872.87","2,682.36",5.62%
2018-02-01,2713.830078,79933970000,"2,713.83","2,816.45","2,835.96","2,532.69",-3.89%
2018-03-01,2640.870117,76803890000,"2,640.87","2,715.22","2,801.90","2,585.89",-2.69%
2018-04-01,2648.050049,70194700000,"2,648.05","2,633.45","2,717.49","2,553.80",0.27%
2018-05-01,2705.27002,76011820000,"2,705.27","2,643.64","2,742.24","2,594.62",2.16%
2018-06-01,2718.370117,77891360000,"2,718.37","2,718.70","2,791.47","2,691.99",0.48%
2018-07-01,2816.290039,64898300000,"2,816.29","2,704.95","2,848.03","2,698.95",3.60%
2018-08-01,2901.52002,69523070000,"2,901.52","2,821.17","2,916.50","2,796.34",3.03%
2018-09-01,2913.97998,63031510000,"2,913.98","2,896.96","2,940.91","2,864.12",0.43%
2018-10-01,2711.73999,91930980000,"2,711.74","2,926.29","2,939.86","2,603.54",-6.94%
2018-11-01,2760.169922,80620020000,"2,760.17","2,717.58","2,815.15","2,631.09",1.79%
2018-12-01,2506.850098,84162180000,"2,506.85","2,790.50","2,800.18","2,346.58",-9.18%
2019-01-01,2704.100098,80859870000,"2,704.10","2,476.96","2,708.95","2,443.96",7.87%
2019-02-01,2784.48999,70638770000,"2,784.49","2,702.32","2,813.49","2,681.83",2.97%
2019-03-01,2834.399902,79159660000,"2,834.40","2,798.22","2,860.31","2,722.27",1.79%
2019-04-01,2945.830078,70090370000,"2,945.83","2,848.63","2,949.52","2,848.63",3.93%
2019-05-01,2752.060059,77250740000,"2,752.06","2,952.33","2,954.13","2,750.52",-6.58%
2019-06-01,2941.76001,71250630000,"2,941.76","2,751.53","2,964.15","2,728.81",6.89%
2019-07-01,2980.379883,70599470000,"2,980.38","2,971.41","3,027.98","2,952.22",1.31%
2019-08-01,2926.459961,80269220000,"2,926.46","2,980.32","3,013.59","2,822.12",-1.81%
2019-09-01,2976.73999,74178980000,"2,976.74","2,909.01","3,021.99","2,891.85",1.72%
2019-10-01,3037.560059,77720640000,"3,037.56","2,983.69","3,050.10","2,855.94",2.04%
2019-11-01,3140.97998,72410620000,"3,140.98","3,050.72","3,154.26","3,050.72",3.40%
2019-12-01,3230.780029,72325540000,"3,230.78","3,143.85","3,247.93","3,070.33",2.86%
2020-01-01,3225.52002,77287980000,"3,225.52","3,244.67","3,337.77","3,214.64",-0.16%
2020-02-01,2954.219971,84436590000,"2,954.22","3,235.66","3,393.52","2,855.84",-8.41%
2020-03-01,2584.590088,162185380000,"2,584.59","2,974.28","3,136.72","2,191.86",-12.51%
2020-04-01,2912.429932,123608160000,"2,912.43","2,498.08","2,954.86","2,447.49",12.68%
2020-05-01,3044.310059,107135190000,"3,044.31","2,869.09","3,068.67","2,766.64",4.53%
2020-06-01,3100.290039,131458880000,"3,100.29","3,038.78","3,233.13","2,965.66",1.84%
2020-07-01,3271.120117,96928130000,"3,271.12","3,105.92","3,279.99","3,101.17",5.51%
2020-08-01,3500.310059,82466520000,"3,500.31","3,288.26","3,514.77","3,284.53",7.01%
2020-09-01,3363.0,92310780000,"3,363.00","3,507.44","3,588.11","3,209.45",-3.92%
2020-10-01,3269.959961,89938980000,"3,269.96","3,385.87","3,549.85","3,233.94",-2.77%
2020-11-01,3621.629883,101247180000,"3,621.63","3,296.20","3,645.99","3,279.74",10.75%
2020-12-01,3756.070068,96375680000,"3,756.07","3,645.87","3,760.20","3,633.40",3.71%
2021-01-01,3714.23999,106117800000,"3,714.24","3,764.61","3,870.90","3,662.71",-1.11%
2021-02-01,3811.149902,99082320000,"3,811.15","3,731.17","3,950.43","3,725.62",2.61%
2021-03-01,3972.889893,122371150000,"3,972.89","3,842.51","3,994.41","3,723.34",4.24%
2021-04-01,4181.169922,83124090000,"4,181.17","3,992.78","4,218.78","3,992.78",5.24%
2021-05-01,4204.109863,88321860000,"4,204.11","4,191.98","4,238.04","4,056.88",0.55%
2021-06-01,4297.5,102544180000,"4,297.50","4,216.52","4,302.43","4,164.40",2.22%
2021-07-01,4395.259766,84255620000,"4,395.26","4,300.73","4,429.97","4,233.13",2.27%
2021-08-01,4522.680176,80500760000,"4,522.68","4,406.86","4,537.36","4,367.73",2.90%
2021-09-01,4307.540039,85528860000,"4,307.54","4,528.80","4,545.85","4,305.91",-4.76%
2021-10-01,4605.379883,80253600000,"4,605.38","4,317.16","4,608.08","4,278.94",6.91%
2021-11-01,4567.0,88268840000,"4,567.00","4,610.62","4,743.83","4,560.00",-0.83%
2021-12-01,4766.180176,92750180000,"4,766.18","4,602.82","4,808.93","4,495.12",4.36%
2022-01-01,4515.549805,95562890000,"4,515.55","4,778.14","4,818.62","4,222.62",-5.26%
2022-02-01,4373.939941,92667710000,"4,373.94","4,519.57","4,595.31","4,114.65",-3.14%
2022-03-01,4530.410156,123546260000,"4,530.41","4,363.14","4,637.30","4,157.87",3.58%
2022-04-01,4131.930176,90367840000,"4,131.93","4,540.32","4,593.45","4,124.28",-8.80%
2022-05-01,4132.149902,108860390000,"4,132.15","4,130.61","4,307.66","3,810.32",0.01%
2022-06-01,3785.379883,106116710000,"3,785.38","4,149.78","4,177.51","3,636.87",-8.39%
2022-07-01,4130.290039,81688320000,"4,130.29","3,781.00","4,140.15","3,721.56",9.11%
2022-08-01,3955.0,92252350000,"3,955.00","4,112.38","4,325.28","3,954.53",-4.24%
2022-09-01,3585.620117,94241020000,"3,585.62","3,936.73","4,119.28","3,584.13",-9.34%
2022-10-01,3871.97998,95823760000,"3,871.98","3,609.78","3,905.42","3,491.58",7.99%
2022-11-01,4080.110107,92671910000,"4,080.11","3,901.79","4,080.11","3,698.15",5.38%
2022-12-01,3839.5,85249330000,"3,839.50","4,087.14","4,100.96","3,764.49",-5.90%
2023-01-01,4076.600098,80763810000,"4,076.60","3,853.29","4,094.21","3,794.33",6.18%
2023-02-01,3970.149902,80392280000,"3,970.15","4,070.07","4,195.44","3,943.08",-2.61%
2023-03-01,4109.310059,113094800000,"4,109.31","3,963.34","4,110.75","3,808.86",3.51%
2023-04-01,4169.47998,70861260000,"4,169.48","4,102.20","4,170.06","4,049.35",1.46%
2023-05-01,4179.830078,88929200000,"4,179.83","4,166.79","4,231.10","4,048.28",0.25%
2023-06-01,4450.379883,87983140000,"4,450.38","4,183.03","4,458.48","4,171.64",6.47%
2023-07-01,4588.959961,75063200000,"4,588.96","4,450.48","4,607.07","4,385.05",3.11%
2023-08-01,4507.660156,86840820000,"4,507.66","4,578.83","4,584.62","4,335.31",-1.77%
2023-09-01,4288.049805,73482980000,"4,288.05","4,530.60","4,541.25","4,238.63",-4.87%
2023-10-01,4193.799805,83519460000,"4,193.80","4,284.52","4,393.57","4,103.78",-2.20%
2023-11-01,4567.799805,80970570000,"4,567.80","4,201.27","4,587.64","4,197.74",8.92%
2023-12-01,4769.830078,81530670000,"4,769.83","4,559.43","4,793.30","4,546.50",4.42%
